"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","Fri Oct 17 20:40:54 GMT 2025","passed","Fri Oct 17 20:40:54 GMT 2025","Delete entity","Files","",""
"","294","Update exercise","LMS service","Fri Oct 17 20:40:50 GMT 2025","passed","Fri Oct 17 20:40:50 GMT 2025","Update entity","Exercises","",""
"","260","Get file with incorrect file id","LMS service","Fri Oct 17 20:40:55 GMT 2025","passed","Fri Oct 17 20:40:55 GMT 2025","Validate entity","Files","",""
"","28","Create course","LMS service","Fri Oct 17 20:40:48 GMT 2025","passed","Fri Oct 17 20:40:48 GMT 2025","Create entity","Courses","",""
"","268","Create file with empty directory","LMS service","Fri Oct 17 20:40:54 GMT 2025","passed","Fri Oct 17 20:40:54 GMT 2025","Validate entity","Files","",""
"","264","Create file with empty filename","LMS service","Fri Oct 17 20:40:53 GMT 2025","passed","Fri Oct 17 20:40:53 GMT 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Fri Oct 17 20:40:49 GMT 2025","passed","Fri Oct 17 20:40:49 GMT 2025","CREATE_ENTITY","Exercises","",""
"","11","Get file","LMS service","Fri Oct 17 20:40:53 GMT 2025","passed","Fri Oct 17 20:40:53 GMT 2025","Get entity","Files","",""
"","301","Update course","LMS service","Fri Oct 17 20:40:47 GMT 2025","passed","Fri Oct 17 20:40:47 GMT 2025","Update entity","Courses","",""
"","558","Create user","LMS service","Fri Oct 17 20:40:55 GMT 2025","passed","Fri Oct 17 20:40:56 GMT 2025","Create entity","Users","",""
"","290","Delete exercise","LMS service","Fri Oct 17 20:40:51 GMT 2025","passed","Fri Oct 17 20:40:51 GMT 2025","Delete entity","Exercises","",""
"","539","Create user","LMS service","Fri Oct 17 20:40:54 GMT 2025","passed","Fri Oct 17 20:40:55 GMT 2025","Create entity","Users","",""
"","17","Get exercise","LMS service","Fri Oct 17 20:40:50 GMT 2025","passed","Fri Oct 17 20:40:50 GMT 2025","Get entity","Exercises","",""
"","11","Get user me","LMS service","Fri Oct 17 20:40:56 GMT 2025","passed","Fri Oct 17 20:40:56 GMT 2025","Get entity","Users","",""
"","23","Get courses","LMS service","Fri Oct 17 20:40:48 GMT 2025","passed","Fri Oct 17 20:40:48 GMT 2025","Get entities","Courses","",""
"","553","Login with correct email and password","LMS service","Fri Oct 17 20:40:46 GMT 2025","passed","Fri Oct 17 20:40:47 GMT 2025","Login","Authentication","",""
"","17","Get exercises","LMS service","Fri Oct 17 20:40:51 GMT 2025","passed","Fri Oct 17 20:40:51 GMT 2025","Get entities","Exercises","",""
"","269","Create file","LMS service","Fri Oct 17 20:40:52 GMT 2025","passed","Fri Oct 17 20:40:52 GMT 2025","Create entity","Files","",""
"","289","Create user","LMS service","Fri Oct 17 20:40:55 GMT 2025","passed","Fri Oct 17 20:40:55 GMT 2025","Create entity","Users","",""
