"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Create user","LMS service","Thu Oct 16 20:23:07 GMT 2025","passed","Thu Oct 16 20:23:07 GMT 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Thu Oct 16 20:23:08 GMT 2025","passed","Thu Oct 16 20:23:08 GMT 2025","Get entity","Users","",""
"","293","Update exercise","LMS service","Thu Oct 16 20:23:02 GMT 2025","passed","Thu Oct 16 20:23:02 GMT 2025","Update entity","Exercises","",""
"","258","Create file with empty filename","LMS service","Thu Oct 16 20:23:05 GMT 2025","passed","Thu Oct 16 20:23:05 GMT 2025","Validate entity","Files","",""
"","262","Create file with empty directory","LMS service","Thu Oct 16 20:23:05 GMT 2025","passed","Thu Oct 16 20:23:06 GMT 2025","Validate entity","Files","",""
"","17","Delete file","LMS service","Thu Oct 16 20:23:06 GMT 2025","passed","Thu Oct 16 20:23:06 GMT 2025","Delete entity","Files","",""
"","20","Create exercise","LMS service","Thu Oct 16 20:23:01 GMT 2025","passed","Thu Oct 16 20:23:01 GMT 2025","CREATE_ENTITY","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Thu Oct 16 20:23:07 GMT 2025","passed","Thu Oct 16 20:23:07 GMT 2025","Validate entity","Files","",""
"","29","Create course","LMS service","Thu Oct 16 20:23:00 GMT 2025","passed","Thu Oct 16 20:23:00 GMT 2025","Create entity","Courses","",""
"","285","Delete exercise","LMS service","Thu Oct 16 20:23:03 GMT 2025","passed","Thu Oct 16 20:23:03 GMT 2025","Delete entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Thu Oct 16 20:22:58 GMT 2025","passed","Thu Oct 16 20:22:59 GMT 2025","Login","Authentication","",""
"","560","Create user","LMS service","Thu Oct 16 20:23:07 GMT 2025","passed","Thu Oct 16 20:23:07 GMT 2025","Create entity","Users","",""
"","16","Get exercise","LMS service","Thu Oct 16 20:23:02 GMT 2025","passed","Thu Oct 16 20:23:02 GMT 2025","Get entity","Exercises","",""
"","539","Create user","LMS service","Thu Oct 16 20:23:06 GMT 2025","passed","Thu Oct 16 20:23:07 GMT 2025","Create entity","Users","",""
"","298","Update course","LMS service","Thu Oct 16 20:22:59 GMT 2025","passed","Thu Oct 16 20:22:59 GMT 2025","Update entity","Courses","",""
"","16","Get exercises","LMS service","Thu Oct 16 20:23:03 GMT 2025","passed","Thu Oct 16 20:23:03 GMT 2025","Get entities","Exercises","",""
"","263","Create file","LMS service","Thu Oct 16 20:23:04 GMT 2025","passed","Thu Oct 16 20:23:04 GMT 2025","Create entity","Files","",""
"","12","Get file","LMS service","Thu Oct 16 20:23:05 GMT 2025","passed","Thu Oct 16 20:23:05 GMT 2025","Get entity","Files","",""
"","23","Get courses","LMS service","Thu Oct 16 20:23:00 GMT 2025","passed","Thu Oct 16 20:23:00 GMT 2025","Get entities","Courses","",""
