"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Update course","LMS service","Sat Oct 18 12:32:16 GMT 2025","passed","Sat Oct 18 12:32:16 GMT 2025","Update entity","Courses","",""
"","12","Get file","LMS service","Sat Oct 18 12:32:22 GMT 2025","passed","Sat Oct 18 12:32:22 GMT 2025","Get entity","Files","",""
"","17","Get exercises","LMS service","Sat Oct 18 12:32:20 GMT 2025","passed","Sat Oct 18 12:32:20 GMT 2025","Get entities","Exercises","",""
"","562","Create user","LMS service","Sat Oct 18 12:32:24 GMT 2025","passed","Sat Oct 18 12:32:25 GMT 2025","Create entity","Users","",""
"","263","Create file with empty directory","LMS service","Sat Oct 18 12:32:23 GMT 2025","passed","Sat Oct 18 12:32:23 GMT 2025","Validate entity","Files","",""
"","262","Create file","LMS service","Sat Oct 18 12:32:21 GMT 2025","passed","Sat Oct 18 12:32:21 GMT 2025","Create entity","Files","",""
"","23","Create exercise","LMS service","Sat Oct 18 12:32:18 GMT 2025","passed","Sat Oct 18 12:32:18 GMT 2025","CREATE_ENTITY","Exercises","",""
"","555","Login with correct email and password","LMS service","Sat Oct 18 12:32:15 GMT 2025","passed","Sat Oct 18 12:32:16 GMT 2025","Login","Authentication","",""
"","11","Get user me","LMS service","Sat Oct 18 12:32:25 GMT 2025","passed","Sat Oct 18 12:32:25 GMT 2025","Get entity","Users","",""
"","16","Get exercise","LMS service","Sat Oct 18 12:32:19 GMT 2025","passed","Sat Oct 18 12:32:19 GMT 2025","Get entity","Exercises","",""
"","292","Update exercise","LMS service","Sat Oct 18 12:32:19 GMT 2025","passed","Sat Oct 18 12:32:19 GMT 2025","Update entity","Exercises","",""
"","20","Delete file","LMS service","Sat Oct 18 12:32:23 GMT 2025","passed","Sat Oct 18 12:32:23 GMT 2025","Delete entity","Files","",""
"","287","Delete exercise","LMS service","Sat Oct 18 12:32:20 GMT 2025","passed","Sat Oct 18 12:32:20 GMT 2025","Delete entity","Exercises","",""
"","260","Create file with empty filename","LMS service","Sat Oct 18 12:32:22 GMT 2025","passed","Sat Oct 18 12:32:22 GMT 2025","Validate entity","Files","",""
"","29","Create course","LMS service","Sat Oct 18 12:32:17 GMT 2025","passed","Sat Oct 18 12:32:17 GMT 2025","Create entity","Courses","",""
"","535","Create user","LMS service","Sat Oct 18 12:32:23 GMT 2025","passed","Sat Oct 18 12:32:24 GMT 2025","Create entity","Users","",""
"","25","Get courses","LMS service","Sat Oct 18 12:32:17 GMT 2025","passed","Sat Oct 18 12:32:17 GMT 2025","Get entities","Courses","",""
"","263","Get file with incorrect file id","LMS service","Sat Oct 18 12:32:24 GMT 2025","passed","Sat Oct 18 12:32:24 GMT 2025","Validate entity","Files","",""
"","291","Create user","LMS service","Sat Oct 18 12:32:24 GMT 2025","passed","Sat Oct 18 12:32:24 GMT 2025","Create entity","Users","",""
